epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
8,8,10,1.3836571,1.2875005,-1.6603886
8,8,11,2.603711,1.6744949,-3.1244533
8,8,12,1.2258772,1.6600375,-1.4710526
8,8,13,0.9662343,1.7235316,-1.1594813
8,8,14,-0.11142257,0.44416222,0.08913805
8,8,15,-0.29750022,1.1640253,0.3462978
8,8,16,-0.20453711,0.89853305,0.18378335
8,8,17,-0.8626154,0.76661694,0.6900923
8,8,18,-0.8666275,0.67646027,0.69330204
8,8,19,-0.6936816,1.2562916,0.8714664
8,8,20,-0.5120993,1.0957989,0.5611578
8,8,21,-0.8203182,0.82405096,0.675984
8,8,22,-1.6047196,0.8051073,1.2919714
8,8,23,-1.1531802,0.7883915,0.9225442
8,8,24,-0.70574194,0.82398415,0.5815202
8,8,25,-0.70698583,0.79546654,0.56558865
8,8,26,-0.55189914,1.3054181,0.72045916
8,8,27,-0.030507764,0.56603116,0.024406211
8,8,28,0.8624725,0.9721307,-0.838436
8,8,29,0.57098943,0.6853127,-0.3913063
8,8,30,0.16006225,1.3336099,-0.19207472
8,8,31,1.3503228,1.1983972,-1.6182231
8,8,32,0.3644093,0.6815971,-0.24838032
8,8,33,0.85393685,1.1754932,-1.003797
8,8,34,0.15123743,0.93978405,-0.14213052
8,8,35,-0.5776769,0.76839155,0.4621415
8,8,36,-0.54459244,1.1499517,0.626255
8,8,37,-0.012570525,1.1361209,0.014281636
8,8,38,-1.0412847,0.74861157,0.8330278
8,8,39,-1.2807758,0.7990537,1.0246207
9,9,0,-5.8014946,0.7868224,4.641196
9,9,1,-0.3274313,0.80208474,0.26262763
9,9,2,-0.19866663,0.7979655,0.15893331
9,9,3,-0.2883654,0.76431155,0.23069231
9,9,4,-0.28781918,0.8005869,0.23042426
9,9,5,-0.22479562,0.78571033,0.1798365
9,9,6,-0.28347197,0.88055575,0.24961287
9,9,7,-0.20371842,0.5511044,0.16297475
9,9,8,-0.24663423,0.8323556,0.20528738
9,9,9,-0.22814733,0.9304798,0.21228649
9,9,10,-0.1731172,0.74130857,0.13849376
9,9,11,-0.20032865,0.74424684,0.16026293
9,9,12,-0.109030016,0.9718934,0.105965555
9,9,13,-0.09839899,0.7624464,0.07871919
9,9,14,-0.16093615,0.74533784,0.12874892
9,9,15,-0.0638965,0.8878057,0.056727678
9,9,16,-0.030739387,0.6546687,0.024591511
9,9,17,0.052943356,1.054597,-0.055833906
9,9,18,0.05795902,0.7752305,-0.0449316
9,9,19,0.1486529,0.991085,-0.14732766
9,9,20,0.13914838,0.80420333,-0.11190359
9,9,21,0.18296431,0.8887494,-0.16260943
9,9,22,0.22837304,1.8445935,-0.27404764
9,9,23,0.23441574,0.9034471,-0.21178222
9,9,24,0.2140367,0.5681241,-0.12159941
9,9,25,0.25795022,1.0719731,-0.2765157
9,9,26,0.28760162,1.1375054,-0.3271484
9,9,27,0.20121212,0.9368579,-0.18850717
9,9,28,0.35200253,1.3500303,-0.42240307
9,9,29,0.3503264,1.2142291,-0.42039168
9,9,30,0.43438584,0.77323514,-0.3358824
9,9,31,0.5608357,1.9640914,-0.6730029
9,9,32,0.54779595,1.4325076,-0.6573552
9,9,33,0.62048596,1.306395,-0.7445832
9,9,34,0.6480594,1.1638993,-0.7542759
9,9,35,0.6328337,0.76024276,-0.48110726
9,9,36,0.6474052,1.1290505,-0.73095316
9,9,37,0.6600669,0.90083337,-0.5946103
9,9,38,0.65859884,1.2116328,-0.79031867
9,9,39,0.80893743,1.3850266,-0.97072494
10,10,0,-1.0319383,0.3884655,0.8255507
10,10,1,-0.4091485,0.730962,0.32731882
10,10,2,0.03566431,0.9598885,-0.03423376
10,10,3,-0.13103129,0.8611901,0.11284285
10,10,4,0.38659576,2.4572015,-0.46391493
10,10,5,0.28592327,0.6137435,-0.17548354
10,10,6,-0.03499511,0.8769162,0.03068778
10,10,7,-0.2719505,0.46848857,0.21756041
10,10,8,-0.30116358,0.5261283,0.24093087
10,10,9,-1.2641547,0.67528266,1.0113238
10,10,10,-1.4949985,0.8616608,1.2881815
10,10,11,-1.4585972,0.79746264,1.1668777
10,10,12,-1.6623336,0.7998018,1.3298669
10,10,13,-1.1574501,0.7489168,0.92596006
10,10,14,-1.2914382,0.55949754,1.0331506
10,10,15,-1.6816845,1.0464916,1.7598687
10,10,16,-1.4966718,0.7959211,1.1973375
10,10,17,-0.4742787,0.42657185,0.37942296
10,10,18,-0.78210604,0.72689307,0.62568486
10,10,19,-0.20497365,1.3770539,0.28225976
10,10,20,0.101848945,0.847319,-0.08629855
10,10,21,0.19579013,1.0366193,-0.20295982
10,10,22,1.8646364,1.3595101,-2.2375638
10,10,23,2.1285982,1.1854745,-2.5233989
10,10,24,0.42955697,1.4884603,-0.51546836
10,10,25,0.2824966,0.53660566,-0.15158927
10,10,26,0.36862275,1.5316021,-0.44234732
10,10,27,0.83232826,1.1779104,-0.98040813
10,10,28,0.3526549,1.0419533,-0.36744994
10,10,29,0.050753336,0.51887035,-0.026334401
10,10,30,0.2334604,0.7888021,-0.18415405
10,10,31,0.93742126,0.9279286,-0.86986005
10,10,32,0.9801314,1.8503407,-1.1761577
10,10,33,0.43391117,0.68497485,-0.29721823
10,10,34,0.3112022,1.1177838,-0.34785676
10,10,35,-0.08455232,0.46394902,0.067641854
10,10,36,0.25455052,1.116564,-0.28422195
10,10,37,1.0330117,1.4904774,-1.239614
10,10,38,1.6359714,1.201814,-1.9631658
10,10,39,2.0983381,1.3026772,-2.5180058
11,11,0,-1.1168885,0.77410835,0.8935108
11,11,1,-0.8906988,0.96079314,0.85577726
11,11,2,-1.3806641,0.8304353,1.1465522
11,11,3,-1.4220886,0.82638395,1.1751912
11,11,4,-0.18544894,0.90461963,0.16776076
11,11,5,-0.3573508,0.9845866,0.3518428
11,11,6,-0.81721365,0.7802229,0.6537709
11,11,7,-0.474972,1.2879143,0.61172324
11,11,8,-0.9832059,0.7127273,0.78656477
11,11,9,-1.567655,0.8314325,1.3033993
11,11,10,-1.5719885,0.93626213,1.4717933
11,11,11,-0.34335572,0.66837335,0.27468458
11,11,12,0.2366994,1.0650845,-0.25210485
11,11,13,0.19805826,1.131698,-0.22414215
11,11,14,0.021733781,1.209098,-0.02608054
11,11,15,-0.23860605,1.1798971,0.2815306
11,11,16,0.8700707,0.73475194,-0.63928616
11,11,17,1.1303632,1.1782306,-1.3318286
11,11,18,1.0729882,1.0689839,-1.1470071
11,11,19,2.034934,1.1862481,-2.4139366
11,11,20,2.2011688,1.0163417,-2.2371397
11,11,21,1.331818,1.0342891,-1.3774848
11,11,22,0.8676993,0.73521495,-0.63794553
11,11,23,0.78235996,1.4385148,-0.938832
11,11,24,0.5911232,0.95307714,-0.563386
11,11,25,1.0006787,1.040991,-1.0416974
11,11,26,0.9675144,1.2065697,-1.1610173
11,11,27,1.1544548,1.2964376,-1.3853458
11,11,28,1.3924749,0.9879713,-1.3757253
11,11,29,0.69624966,0.9318163,-0.64877677
11,11,30,-0.58120394,0.8299444,0.48236695
11,11,31,-1.2860304,0.77216625,1.0288243
11,11,32,-0.5272679,0.48468155,0.4218143
11,11,33,-0.16525862,0.5239318,0.1322069
11,11,34,-0.048971437,0.8522325,0.04173505
11,11,35,-0.55725646,0.8108293,0.45183986
11,11,36,0.23901625,1.1012822,-0.26322436
11,11,37,-0.54976475,0.71525073,0.4398118
11,11,38,-0.8483241,0.836169,0.70934236
11,11,39,-0.8751916,0.80157167,0.7015288
12,12,0,1.2724466,1.0280857,-1.3081841
12,12,1,0.97992414,1.1889362,-1.1650673
12,12,2,0.699928,1.2951117,-0.8399136
12,12,3,0.9090749,1.1954356,-1.0867405
12,12,4,1.1213013,1.0482624,-1.1754179
12,12,5,0.65494376,1.1956494,-0.7830831
12,12,6,-0.08815692,0.80511534,0.07097649
12,12,7,-0.24380091,0.6661455,0.19504073
12,12,8,-0.3049642,0.79263246,0.24397138
12,12,9,0.22965536,0.7590152,-0.1743119
12,12,10,0.49048313,0.94475025,-0.46338406
12,12,11,0.27321804,0.7605216,-0.20778821
12,12,12,0.517816,0.74597037,-0.3862754
12,12,13,0.30750912,1.2317694,-0.36901096
12,12,14,-0.2808462,1.1624976,0.32648304
12,12,15,-0.5891824,0.8686763,0.51180875
12,12,16,-0.5822466,0.7842846,0.46579728
12,12,17,-0.42494437,0.7270092,0.3399555
12,12,18,-0.20318162,1.4203272,0.28858438
12,12,19,0.02736326,0.88849854,-0.024312217
12,12,20,0.5302254,0.82176095,-0.43571854
12,12,21,0.87511545,1.0616927,-0.9291037
12,12,22,0.6259926,0.79261506,-0.49617115
12,12,23,0.09598391,0.68272,-0.065530136
12,12,24,0.3786588,1.4547923,-0.4543906
12,12,25,0.36637485,1.8112773,-0.43964985
12,12,26,0.89247423,1.1909273,-1.0628719
12,12,27,1.2441278,1.6982588,-1.4929533
12,12,28,0.64997864,0.6871929,-0.44666073
12,12,29,0.20451081,1.0073256,-0.20600899
12,12,30,0.3442834,0.6109188,-0.2103292
12,12,31,0.248824,1.4621453,-0.2985888
12,12,32,0.32292935,0.63269424,-0.20431554
12,12,33,-0.18493558,0.6077124,0.14794847
12,12,34,-0.5371753,1.3573728,0.72914714
12,12,35,-0.98611796,0.9425454,0.92946094
12,12,36,-1.650477,0.84298235,1.391323
12,12,37,-2.3339448,0.81264424,1.8966668
12,12,38,-2.6774542,0.7940166,2.1419635
12,12,39,-3.175715,0.7961742,2.540572
13,13,0,-5.613618,0.78324264,4.4908943
13,13,1,-0.63943523,0.83844435,0.53613085
13,13,2,-0.55201536,0.78221995,0.4416123
13,13,3,-0.66676784,1.1168282,0.74466515
13,13,4,-0.49295712,1.2102747,0.5966135
13,13,5,-0.45646182,1.2638634,0.5769054
13,13,6,-0.218797,0.73650587,0.17503761
13,13,7,-0.43703127,0.84969765,0.37134445
13,13,8,-0.2535572,1.3146514,0.33333933
13,13,9,0.20733789,1.1419786,-0.23677543
13,13,10,0.38508254,0.9454776,-0.36408693
13,13,11,0.47186297,1.143662,-0.53965175
13,13,12,0.40094554,1.3278439,-0.48113468
13,13,13,0.37565225,1.0457197,-0.39282697
13,13,14,0.23464288,0.9210925,-0.2161278
13,13,15,0.19391501,1.2749465,-0.23269802
13,13,16,0.43234307,1.2060204,-0.5188117
13,13,17,0.7915847,1.3661975,-0.94990164
13,13,18,0.75349385,1.0781826,-0.8124039
13,13,19,0.7585491,0.69858634,-0.52991205
13,13,20,0.6885968,1.0586494,-0.72898257
13,13,21,0.54385954,1.2353581,-0.65263146
13,13,22,0.4989384,1.193618,-0.5955419
13,13,23,0.45308968,1.2885944,-0.54370767
13,13,24,0.5036556,0.98827046,-0.49774796
13,13,25,0.62066,1.2002295,-0.74479204
13,13,26,0.5079023,2.3883338,-0.6094828
13,13,27,0.33767003,1.6604286,-0.40520406
13,13,28,0.300526,0.9346514,-0.28088704
13,13,29,0.1693179,1.43449,-0.20318149
13,13,30,0.10304945,1.1695378,-0.12052023
13,13,31,-0.043654103,0.71982425,0.03492328
13,13,32,-0.03993142,1.7301667,0.06908801
13,13,33,0.07897337,0.6466798,-0.05107048
13,13,34,0.23742776,1.1903527,-0.28262275
13,13,35,0.2498005,0.82954913,-0.20722179
13,13,36,0.06323552,0.9486333,-0.05998732
13,13,37,-0.39377293,0.8049246,0.31695753
13,13,38,-0.32007548,0.8003136,0.25616077
13,13,39,-0.23403767,0.8571741,0.20061103
14,14,0,-1.1833683,0.7782031,0.9466947
14,14,1,-0.2803134,1.5167099,0.42515412
14,14,2,-0.33519655,1.3196318,0.44233605
14,14,3,1.5581996,1.1867884,-1.8492533
14,14,4,1.0757916,1.2062187,-1.29095
14,14,5,1.9315529,1.1726208,-2.2649791
14,14,6,1.6562004,1.2015929,-1.9874406
14,14,7,1.0914475,1.0263977,-1.1202592
14,14,8,0.6632785,0.7617029,-0.5052212
14,14,9,0.32823732,1.3324028,-0.3938848
14,14,10,-0.5135081,1.077906,0.55351347
14,14,11,-0.6504814,0.85883147,0.5586539
14,14,12,0.033563446,0.91068363,-0.030565681
14,14,13,-0.38530198,0.9082109,0.34993544
14,14,14,-0.81561625,0.6789146,0.652493
14,14,15,-0.077300645,0.5931065,0.061840516
