Price,Close,High,Low,Open,Volume
Ticker,SHV,SHV,SHV,SHV,SHV
Date,,,,,
2023-09-21,101.73777770996094,101.74699839777186,101.72855702215003,101.72855702215003,2436500
2023-09-22,101.75621795654297,101.75621795654297,101.74700430152149,101.74700430152149,1631300
2023-09-25,101.76543426513672,101.77465495308581,101.76543426513672,101.76543426513672,2278900
2023-09-26,101.77464294433594,101.78386363119705,101.77464294433594,101.78386363119705,2637200
2023-09-27,101.79308319091797,101.80230387831408,101.78386953684559,101.79308319091797,2963100
2023-09-28,101.83917236328125,101.83917236328125,101.82995167653988,101.82995167653988,2534400
2023-09-29,101.83917236328125,101.85760670344078,101.83917236328125,101.84839305002262,5280700
2023-10-02,101.8623275756836,101.8715872402157,101.8623275756836,101.8715872402157,3776800
2023-10-03,101.87158203125,101.89009429631307,101.87158203125,101.89009429631307,5402100
2023-10-04,101.90860748291016,101.90860748291016,101.89008815590894,101.89008815590894,16858300
2023-10-05,101.96415710449219,101.97341676851649,101.9548974404679,101.9548974404679,3781200
2023-10-06,101.97342681884766,101.97342681884766,101.96416715391075,101.97342681884766,3299800
2023-10-09,101.98267364501953,101.98267364501953,101.97341398124833,101.97341398124833,2536000
2023-10-10,101.99192810058594,102.00118776452554,101.99192810058594,101.99192810058594,3038200
2023-10-11,102.00118255615234,102.01044221961912,102.00118255615234,102.01044221961912,3782200
2023-10-12,102.05673217773438,102.05673217773438,102.0382199128085,102.04747957679851,2267900
2023-10-13,102.07524871826172,102.07524871826172,102.06598905452458,102.07524871826172,2263200
2023-10-16,102.08450317382812,102.09376283773352,102.0659909090714,102.08450317382812,2419600
2023-10-17,102.09376525878906,102.09376525878906,102.08450559466408,102.08450559466408,2370000
2023-10-18,102.10302734375,102.11228700809453,102.09376767940546,102.11228700809453,2193500
2023-10-19,102.14929962158203,102.15855928484623,102.14004702137143,102.14004702137143,2345100
2023-10-20,102.17708587646484,102.17708587646484,102.16782621254225,102.17708587646484,2835300
2023-10-23,102.19560241699219,102.19560241699219,102.18634275268218,102.18634275268218,2013900
2023-10-24,102.20484924316406,102.21410890631094,102.19558958001718,102.20484924316406,1658300
2023-10-25,102.20484924316406,102.22336150640432,102.20484924316406,102.21410890631094,1848500
2023-10-26,102.26966857910156,102.26966857910156,102.25114924994305,102.25114924994305,1647800
2023-10-27,102.28815460205078,102.28815460205078,102.27890200289998,102.27890200289998,2058500
2023-10-30,102.29744720458984,102.29744720458984,102.2881875394046,102.2881875394046,3156500
2023-10-31,102.29744720458984,102.3067068697751,102.29744720458984,102.29744720458984,3445500
2023-11-01,102.33275604248047,102.33275604248047,102.3141650403704,102.32345699487792,3890900
2023-11-02,102.37924194335938,102.37924194335938,102.36994289596063,102.37924194335938,2476700
2023-11-03,102.40713500976562,102.40713500976562,102.38853691442019,102.3978359620929,4368900
2023-11-06,102.39784240722656,102.42573245890509,102.39784240722656,102.40714145548459,16525200
2023-11-07,102.42573547363281,102.43503452216454,102.41644351819684,102.42573547363281,3892100
2023-11-08,102.43502807617188,102.44432712411843,102.43502807617188,102.44432712411843,2275700
2023-11-09,102.47222137451172,102.49081237807145,102.47222137451172,102.48152042283938,2394300
2023-11-10,102.50010681152344,102.50010681152344,102.49080776361444,102.49080776361444,2431100
2023-11-13,102.5093994140625,102.5093994140625,102.5001003667382,102.5093994140625,3531500
2023-11-14,102.54659271240234,102.54659271240234,102.52799461699162,102.52799461699162,3791000
2023-11-15,102.5558853149414,102.56518436270552,102.54659336027247,102.54659336027247,3029000
2023-11-16,102.61167907714844,102.61167907714844,102.59308098042965,102.60238002878904,3288800
2023-11-17,102.62096405029297,102.63026309801967,102.6116720956614,102.62096405029297,2997500
2023-11-20,102.63026428222656,102.63956333006057,102.62096523439256,102.63026428222656,3046900
2023-11-21,102.66744232177734,102.66744232177734,102.64885132120706,102.65814327494498,2160100
2023-11-22,102.70463562011719,102.70463562011719,102.69533657290418,102.70463562011719,1466100
2023-11-24,102.7139663696289,102.7232583266151,102.70466731954576,102.7139663696289,1088500
2023-11-27,102.7325439453125,102.74184299417986,102.72324489644514,102.7325439453125,2078900
2023-11-28,102.76043701171875,102.76043701171875,102.74184600653494,102.74184600653494,2128100
2023-11-29,102.7790298461914,102.7790298461914,102.76973079752764,102.76973079752764,2579400
2023-11-30,102.81620025634766,102.82549930396242,102.80690830182793,102.81620025634766,4696300
2023-12-01,102.84889221191406,102.84889221191406,102.83021931742765,102.83021931742765,3956700
2023-12-04,102.85824584960938,102.86758586025998,102.84890583895879,102.86758586025998,3353800
2023-12-05,102.87689971923828,102.87689971923828,102.86756683465453,102.87689971923828,2561300
2023-12-06,102.89559173583984,102.89559173583984,102.88625172582756,102.89559173583984,2971500
2023-12-07,102.94226837158203,102.94226837158203,102.93293548674092,102.93293548674092,1660500
2023-12-08,102.94226837158203,102.9516083807627,102.94226837158203,102.9516083807627,1784800
2023-12-11,102.94226837158203,102.9609483899434,102.94226837158203,102.9609483899434,2079700
2023-12-12,102.97028350830078,102.97028350830078,102.96095062325723,102.96095062325723,1542100
2023-12-13,103.00764465332031,103.00764465332031,102.97963174727157,102.97963174727157,2361500
2023-12-14,103.05828857421875,103.06767145275754,103.04890569567996,103.05828857421875,3413500
2023-12-15,103.06768035888672,103.06768035888672,103.05829747953715,103.05829747953715,2702800
2023-12-18,103.08644104003906,103.08644104003906,103.06768243800146,103.07705816050021,2280800
2023-12-19,103.08644104003906,103.09582391957791,103.08644104003906,103.08644104003906,7442000
2023-12-20,103.11459350585938,103.12397638639773,103.10521778236186,103.11459350585938,3083400
2023-12-21,103.18025207519531,103.18025207519531,103.17087635235934,103.17087635235934,2516100
2023-12-22,103.19902038574219,103.19902038574219,103.18963750563397,103.18963750563397,2083600
2023-12-26,103.21778106689453,103.21778106689453,103.19902246334097,103.19902246334097,1930800
2023-12-27,103.21778106689453,103.23654682748877,103.21778106689453,103.21778106689453,1892100
2023-12-28,103.28343963623047,103.28343963623047,103.27405675659459,103.27405675659459,1714600
2023-12-29,103.31159973144531,103.31159973144531,103.28345824450766,103.29284112583403,1848100
2024-01-02,103.30219268798828,103.31156840943068,103.30219268798828,103.31156840943068,2636900
2024-01-03,103.31159973144531,103.32098261277167,103.31159973144531,103.32098261277167,2320600
2024-01-04,103.35847473144531,103.36785760984405,103.35847473144531,103.35847473144531,1616100
2024-01-05,103.36786651611328,103.38662511748782,103.3584836369061,103.36786651611328,2076900
2024-01-08,103.38662719726562,103.39601007666157,103.38662719726562,103.38662719726562,2264900
2024-01-09,103.39602661132812,103.41478521607982,103.39602661132812,103.40540949222454,1625000
2024-01-10,103.41476440429688,103.42414728330502,103.41476440429688,103.41476440429688,1740400
2024-01-11,103.48043823242188,103.48043823242188,103.47106250972955,103.48043823242188,1688000
2024-01-12,103.50855255126953,103.50855255126953,103.49917683103764,103.50855255126953,1529800
2024-01-16,103.50855255126953,103.52731830581,103.50855255126953,103.51793542853977,2360600
2024-01-17,103.52735137939453,103.52735137939453,103.51796849912678,103.51796849912678,2662400
2024-01-18,103.55549621582031,103.57426197696337,103.55549621582031,103.55549621582031,2113500
2024-01-19,103.5836410522461,103.5836410522461,103.5648824475369,103.5836410522461,3889500
2024-01-22,103.60238647460938,103.60238647460938,103.58362071654321,103.60238647460938,3950600
2024-01-23,103.60238647460938,103.61176219660275,103.60238647460938,103.60238647460938,2189700
2024-01-24,103.61175537109375,103.6305211279237,103.61175537109375,103.62113824950872,2404000
2024-01-25,103.66805267333984,103.66805267333984,103.65866979427422,103.65866979427422,2982500
2024-01-26,103.67742919921875,103.68681207835712,103.67742919921875,103.67742919921875,1729200
2024-01-29,103.68681335449219,103.69619623374604,103.68681335449219,103.68681335449219,1638100
2024-01-30,103.69620513916016,103.714963742239,103.69620513916016,103.714963742239,1803000
2024-01-31,103.72434997558594,103.74310857927121,103.72434997558594,103.72434997558594,3478000
2024-02-01,103.79310607910156,103.79310607910156,103.78369007723651,103.79310607910156,3815600
2024-02-02,103.76484680175781,103.783693181627,103.76484680175781,103.7742699916924,2810200
2024-02-05,103.77428436279297,103.78370755403253,103.77428436279297,103.78370755403253,2435500
2024-02-06,103.80252075195312,103.81194394083269,103.79309756307354,103.79309756307354,2110800
2024-02-07,103.82138061523438,103.82138061523438,103.81196461226695,103.82138061523438,1388100
2024-02-08,103.86847686767578,103.86847686767578,103.84963767622205,103.85905367805508,1722500
2024-02-09,103.87792205810547,103.87792205810547,103.86849886648899,103.87792205810547,2605400
2024-02-12,103.88731384277344,103.8967370321931,103.87789784114128,103.88731384277344,1967400
2024-02-13,103.86847686767578,103.88731605912952,103.86847686767578,103.88731605912952,2706700
2024-02-14,103.90617370605469,103.90617370605469,103.88732732476957,103.89675051541214,1773600
2024-02-15,103.96269989013672,103.97212308090761,103.95327669936583,103.96269989013672,1816600
2024-02-16,103.96269989013672,103.96269989013672,103.95327669936583,103.95327669936583,1548000
2024-02-20,103.98153686523438,103.99095286736492,103.98153686523438,103.98153686523438,1756600
2024-02-21,103.990966796875,104.00038998805566,103.990966796875,103.990966796875,1647100
2024-02-22,104.02864837646484,104.047494758102,104.02864837646484,104.03807156728342,2546500
2024-02-23,104.0474853515625,104.05690135374124,104.03806216159583,104.0474853515625,3266400
2024-02-26,104.0474853515625,104.06632454370789,104.0474853515625,104.05690135374124,1684700
2024-02-27,104.06633758544922,104.07576077659681,104.06633758544922,104.06633758544922,1576600
2024-02-28,104.07574462890625,104.0851678185918,104.07574462890625,104.07574462890625,2040800
2024-02-29,104.13227844238281,104.13227844238281,104.12285525187822,104.12285525187822,3311000
2024-03-01,104.15875244140625,104.15875244140625,104.14929090271094,104.15875244140625,3756000
2024-03-04,104.16822814941406,104.17768247235594,104.15876660943178,104.16822814941406,2742300
2024-03-05,104.18714141845703,104.18714141845703,104.1776798787103,104.18714141845703,2585300
2024-03-06,104.20606231689453,104.20606231689453,104.19660077734584,104.20606231689453,1889800
2024-03-07,104.24388885498047,104.24388885498047,104.23443453294219,104.24388885498047,2023200
2024-03-08,104.25335693359375,104.27228001293675,104.25335693359375,104.27228001293675,2190200
2024-03-11,104.26280975341797,104.27227129229817,104.26280975341797,104.27227129229817,1731900
2024-03-12,104.28173065185547,104.28173065185547,104.27227632955812,104.28173065185547,1443800
2024-03-13,104.29119873046875,104.30066027039928,104.29119873046875,104.29119873046875,1552200
2024-03-14,104.3385009765625,104.3385009765625,104.32903943647204,104.3385009765625,2071800
2024-03-15,104.35740661621094,104.35740661621094,104.33849075492365,104.3479450770474,1722300
2024-03-18,104.36687469482422,104.36687469482422,104.35741315506783,104.35741315506783,2056900
2024-03-19,104.3763198852539,104.3763198852539,104.36686556336497,104.36686556336497,1860600
2024-03-20,104.40470886230469,104.40470886230469,104.3857857836573,104.3857857836573,2372200
