Price,Close,High,Low,Open,Volume
Ticker,XLRE,XLRE,XLRE,XLRE,XLRE
Date,,,,,
2018-04-20,23.855236053466797,23.855236053466797,24.159940195825218,23.823661407414903,24.099946712129455,3173400
2018-04-23,23.90260124206543,23.90260124206543,23.989432651424774,23.788139946053285,23.8552370126325,1929900
2018-04-24,23.92628288269043,23.92628288269043,24.060478527268327,23.807875315270852,23.92628288269043,3914000
2018-04-25,23.84734344482422,23.84734344482422,23.96575251510852,23.70762363270578,23.886813636796944,2337900
2018-04-26,24.155202865600586,24.155202865600586,24.299660895232186,23.907334899118112,23.92628028852719,2621900
2018-04-27,24.478849411010742,24.478849411010742,24.557788277859288,23.94996096044924,24.084156582401672,3408300
2018-04-30,24.384132385253906,24.384132385253906,24.57358483934936,24.352557729055132,24.423602587545208,2895500
2018-05-01,24.55779266357422,24.55779266357422,24.577527007402246,24.331238421554875,24.42359701765612,3077000
2018-05-02,24.44727325439453,24.44727325439453,24.573574839059358,24.30597405290632,24.470955366131804,3362800
2018-05-03,24.43938446044922,24.43938446044922,24.538057688740373,24.313082848687255,24.415703849265086,3260600
2018-05-04,24.715667724609375,24.715667724609375,24.78671256346177,24.407807760004896,24.415701798281145,1804100
2018-05-07,24.76302719116211,24.76302719116211,24.81038990607566,24.656459953381454,24.75513315440426,1737500
2018-05-08,24.589365005493164,24.589365005493164,24.72356063882045,24.50647986581172,24.68409195486751,1693200
2018-05-09,24.778818130493164,24.778818130493164,24.778818130493164,24.518320894061695,24.589365731782443,1498200
2018-05-10,25.00773811340332,25.00773811340332,25.059048603216624,24.841966340788666,24.865648452771808,1628800
2018-05-11,24.88933753967285,24.88933753967285,25.11036462425417,24.857761381513182,25.015639161043346,1206700
2018-05-14,24.715667724609375,24.715667724609375,24.91301416461406,24.589366123457083,24.897227593695412,1882900
2018-05-15,24.297292709350586,24.297292709350586,24.557789933570213,24.230194141033692,24.557789933570213,2371100
2018-05-16,24.23413848876953,24.23413848876953,24.439377419528437,24.186774268778823,24.35254602747922,1562100
2018-05-17,24.107839584350586,24.107839584350586,24.249927743164317,24.044687284032868,24.210459061099456,1758200
2018-05-18,24.12362289428711,24.12362289428711,24.249924466589647,24.021003431403862,24.12362289428711,1395300
2018-05-21,24.368335723876953,24.368335723876953,24.43543278154918,24.02100561564533,24.178881842562507,1477100
2018-05-22,24.39990997314453,24.39990997314453,24.431486121398454,24.24992628020565,24.368335330524232,1567200
2018-05-23,24.597261428833008,24.597261428833008,24.684094348711,24.384126901296444,24.392020939979346,1543900
2018-05-24,24.502534866333008,24.502534866333008,24.69988130756713,24.38017953073966,24.605154353295852,1537500
2018-05-25,24.62094497680664,24.62094497680664,24.723564474384737,24.52621801273654,24.52621801273654,1713600
2018-05-29,24.684093475341797,24.684093475341797,24.766978620128743,24.463064916942734,24.565685910555608,3255100
2018-05-30,25.00773811340332,25.00773811340332,25.10641132154924,24.597257206164212,24.660407999152255,3589000
2018-05-31,24.928800582885742,24.928800582885742,25.007739454763318,24.818287065637385,24.89722593751496,3811900
2018-06-01,25.031423568725586,25.031423568725586,25.08273406847853,24.849865191918518,24.920910035996755,2424400
2018-06-04,25.2761287689209,25.2761287689209,25.2761287689209,25.00378975720134,25.086676394387172,3660700
2018-06-05,25.149831771850586,25.149831771850586,25.366911057518116,25.110361578937834,25.315602065182404,2623600
2018-06-06,25.22087287902832,25.22087287902832,25.22876541080832,25.035366763890888,25.13403997311145,2120300
2018-06-07,25.22087287902832,25.22087287902832,25.284022167070443,25.07088917943564,25.244553485635695,4379700
2018-06-08,25.30770492553711,25.30770492553711,25.327437759950705,25.157721231037627,25.197189911132085,2237300
2018-06-11,25.29981231689453,25.29981231689453,25.386645229933116,25.25244959416158,25.28402424077228,1788600
2018-06-12,25.44190788269043,25.44190788269043,25.50506020180457,25.19325240153221,25.197198668659766,1508900
2018-06-13,24.8735408782959,24.8735408782959,25.4734741256235,24.845912502256052,25.441897978358778,2002600
2018-06-14,25.110355377197266,25.110355377197266,25.212185890184475,24.968265729072403,24.968265729072403,2131100
2018-06-15,25.069759368896484,25.069759368896484,25.284711625321563,25.04030247615718,25.101604822503816,2439000
2018-06-18,25.04587745666504,25.04587745666504,25.11752821503744,24.90655738120478,24.990149426480937,2107100
2018-06-19,25.07771873474121,25.07771873474121,25.217038786988788,24.9503399674078,24.9503399674078,2535800
2018-06-20,25.348398208618164,25.348398208618164,25.372282296180284,25.061795231771278,25.109563406895518,3725000
2018-06-21,25.499658584594727,25.499658584594727,25.53150403348303,25.30063060294116,25.372281344465257,2827000
2018-06-22,25.722579956054688,25.722579956054688,25.74646253006429,25.424034114660138,25.587238283783854,2292900
2018-06-25,25.658889770507812,25.658889770507812,25.78228712232378,25.511606807054896,25.738503414381007,6956700
2018-06-26,25.79422950744629,25.79422950744629,25.909663967721755,25.60315981346494,25.690733296666817,2106700
2018-06-27,25.722579956054688,25.722579956054688,25.961414807000388,25.722579956054688,25.857918591375622,3679600
2018-06-28,25.97733497619629,25.97733497619629,26.01714027460755,25.714614540172686,25.714614540172686,2795800
2018-06-29,26.04102325439453,26.04102325439453,26.160442188449515,25.746460397195122,25.953449774347494,2923000
2018-07-02,25.88975715637207,25.88975715637207,26.072863927920523,25.59917275649032,26.009173031582403,6280200
2018-07-03,26.04102325439453,26.04102325439453,26.255975513523715,25.84995660424613,25.921607357289194,2916200
2018-07-05,26.383350372314453,26.383350372314453,26.399273096952477,26.03704098152234,26.088787558884015,2699600
2018-07-06,26.49480628967285,26.49480628967285,26.550534307182804,26.403254419599005,26.45500099672991,2440800
2018-07-09,26.248014450073242,26.248014450073242,26.534617448941482,26.120635676903973,26.534617448941482,2344600
